file,shape,n1,n2,ratio,1/ratio,area_n1,area_n2,area_ratio,per_n1,per_n2,per_ratio
circle__1_lessthan_7_2_area_S2.png, circle,7,2,3.5,0.29,13824,13824,1,1058,562,1.88
circle__1_lessthan_7_3_area_S1.png, circle,7,3,2.33,0.43,13824,13824,1,1063,704,1.51
circle__1_lessthan_7_3_area_S2.png, circle,7,3,2.33,0.43,13824,13824,1,1063,704,1.51
circle__1_lessthan_7_4_area_S1.png, circle,7,4,1.75,0.57,13824,13824,1,1065,807,1.32
circle__1_lessthan_7_4_area_S2.png, circle,7,4,1.75,0.57,13824,13824,1,1065,807,1.32
circle__1_lessthan_7_5_area_S1.png, circle,7,5,1.4,0.71,13824,13824,1,1069,900,1.19
circle__1_lessthan_7_5_area_S2.png, circle,7,5,1.4,0.71,13824,13824,1,1069,900,1.19
circle__1_lessthan_7_6_area_S1.png, circle,7,6,1.17,0.86,13824,13824,1,1063,993,1.07
circle__1_lessthan_7_6_area_S2.png, circle,7,6,1.17,0.86,13824,13824,1,1063,993,1.07
circle__1_equal_7_7_area_S1.png, circle,7,7,1,1,13824,13824,1,1057,1049,1.01
circle__1_equal_7_7_area_S2.png, circle,7,7,1,1,13824,13824,1,1057,1049,1.01
circle__1_greaterthan_7_8_area_S1.png, circle,7,8,0.88,1.14,13824,13824,1,1057,1136,0.93
circle__1_greaterthan_7_8_area_S2.png, circle,7,8,0.88,1.14,13824,13824,1,1057,1136,0.93
circle__1_greaterthan_7_9_area_S1.png, circle,7,9,0.78,1.29,13824,13824,1,1074,1189,0.9
circle__1_greaterthan_7_9_area_S2.png, circle,7,9,0.78,1.29,13824,13824,1,1074,1189,0.9
circle__1_lessthan_8_1_area_S1.png, circle,8,1,8,0.13,13824,13824,1,1109,416,2.67
circle__1_lessthan_8_1_area_S2.png, circle,8,1,8,0.13,13824,13824,1,1109,416,2.67
circle__1_lessthan_8_2_area_S1.png, circle,8,2,4,0.25,13824,13824,1,1131,581,1.95
circle__1_lessthan_8_2_area_S2.png, circle,8,2,4,0.25,13824,13824,1,1131,581,1.95
circle__1_lessthan_8_3_area_S1.png, circle,8,3,2.67,0.38,13824,13824,1,1153,711,1.62
circle__1_lessthan_8_3_area_S2.png, circle,8,3,2.67,0.38,13824,13824,1,1153,711,1.62
